date,day_name,day_of_week,is_weekend,month,week_of_year,weather,event_flag,event_name,menu_id,menu_name,unit_price,qty_sold,gross_sales
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,soto_ayam,Soto Ayam,18000,40,720000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,es_jeruk,Es Jeruk,10000,70,700000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,gorengan,Gorengan,2000,142,284000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,68,1224000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,58,1276000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,kopi_susu,Kopi Susu,16000,54,864000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,69,552000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,49,735000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,sate_ayam,Sate Ayam,25000,31,775000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,58,870000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,soto_ayam,Soto Ayam,18000,54,972000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,es_jeruk,Es Jeruk,10000,57,570000
08/30/2025,Sabtu,6,1,8,35,Hujan,1,Periode Gajian,gorengan,Gorengan,2000,233,466000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,64,1152000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,53,1166000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,kopi_susu,Kopi Susu,16000,70,1120000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,109,872000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,44,660000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,sate_ayam,Sate Ayam,25000,34,850000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,58,870000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,soto_ayam,Soto Ayam,18000,51,918000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,es_jeruk,Es Jeruk,10000,97,970000
08/31/2025,Minggu,7,1,8,35,Cerah,1,Periode Gajian,gorengan,Gorengan,2000,191,382000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,48,864000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,43,946000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,kopi_susu,Kopi Susu,16000,43,688000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,60,480000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,38,570000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,sate_ayam,Sate Ayam,25000,25,625000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,56,840000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,soto_ayam,Soto Ayam,18000,44,792000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,es_jeruk,Es Jeruk,10000,50,500000
09/01/2025,Senin,1,0,9,36,Hujan,1,Periode Gajian,gorengan,Gorengan,2000,181,362000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,55,990000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,42,924000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,kopi_susu,Kopi Susu,16000,64,1024000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,95,760000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,37,555000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,sate_ayam,Sate Ayam,25000,23,575000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,48,720000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,soto_ayam,Soto Ayam,18000,41,738000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,es_jeruk,Es Jeruk,10000,78,780000
09/02/2025,Selasa,2,0,9,36,Cerah,1,Periode Gajian,gorengan,Gorengan,2000,164,328000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,ayam_geprek,Ayam Geprek,18000,39,702000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,nasi_goreng,Nasi Goreng,22000,32,704000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,kopi_susu,Kopi Susu,16000,48,768000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,es_teh_manis,Es Teh Manis,8000,71,568000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,29,435000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,sate_ayam,Sate Ayam,25000,18,450000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,bakso_sapi,Bakso Sapi,15000,34,510000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,soto_ayam,Soto Ayam,18000,29,522000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,es_jeruk,Es Jeruk,10000,60,600000
09/03/2025,Rabu,3,0,9,36,Cerah,0,,gorengan,Gorengan,2000,123,246000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,ayam_geprek,Ayam Geprek,18000,40,720000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,nasi_goreng,Nasi Goreng,22000,32,704000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,kopi_susu,Kopi Susu,16000,38,608000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,es_teh_manis,Es Teh Manis,8000,51,408000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,mie_goreng,Mie Goreng Spesial,15000,30,450000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,sate_ayam,Sate Ayam,25000,21,525000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,bakso_sapi,Bakso Sapi,15000,40,600000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,soto_ayam,Soto Ayam,18000,35,630000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,es_jeruk,Es Jeruk,10000,39,390000
09/04/2025,Kamis,4,0,9,36,Hujan,0,,gorengan,Gorengan,2000,125,250000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,ayam_geprek,Ayam Geprek,18000,41,738000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,nasi_goreng,Nasi Goreng,22000,34,748000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,kopi_susu,Kopi Susu,16000,45,720000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,es_teh_manis,Es Teh Manis,8000,75,600000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,28,420000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,sate_ayam,Sate Ayam,25000,20,500000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,bakso_sapi,Bakso Sapi,15000,37,555000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,soto_ayam,Soto Ayam,18000,28,504000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,es_jeruk,Es Jeruk,10000,53,530000
09/05/2025,Jumat,5,0,9,36,Cerah,0,,gorengan,Gorengan,2000,115,230000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,ayam_geprek,Ayam Geprek,18000,52,936000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,nasi_goreng,Nasi Goreng,22000,45,990000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,kopi_susu,Kopi Susu,16000,55,880000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,es_teh_manis,Es Teh Manis,8000,89,712000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,38,570000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,sate_ayam,Sate Ayam,25000,22,550000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,bakso_sapi,Bakso Sapi,15000,45,675000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,soto_ayam,Soto Ayam,18000,36,648000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,es_jeruk,Es Jeruk,10000,73,730000
09/06/2025,Sabtu,6,1,9,36,Cerah,0,,gorengan,Gorengan,2000,155,310000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,ayam_geprek,Ayam Geprek,18000,44,792000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,nasi_goreng,Nasi Goreng,22000,40,880000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,kopi_susu,Kopi Susu,16000,53,848000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,es_teh_manis,Es Teh Manis,8000,88,704000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,39,585000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,sate_ayam,Sate Ayam,25000,22,550000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,bakso_sapi,Bakso Sapi,15000,42,630000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,soto_ayam,Soto Ayam,18000,35,630000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,es_jeruk,Es Jeruk,10000,65,650000
09/07/2025,Minggu,7,1,9,36,Cerah,0,,gorengan,Gorengan,2000,133,266000
09/08/2025,Senin,1,0,9,37,Cerah,0,,ayam_geprek,Ayam Geprek,18000,44,792000
09/08/2025,Senin,1,0,9,37,Cerah,0,,nasi_goreng,Nasi Goreng,22000,34,748000
09/08/2025,Senin,1,0,9,37,Cerah,0,,kopi_susu,Kopi Susu,16000,45,720000
09/08/2025,Senin,1,0,9,37,Cerah,0,,es_teh_manis,Es Teh Manis,8000,72,576000
09/08/2025,Senin,1,0,9,37,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,29,435000
09/08/2025,Senin,1,0,9,37,Cerah,0,,sate_ayam,Sate Ayam,25000,22,550000
09/08/2025,Senin,1,0,9,37,Cerah,0,,bakso_sapi,Bakso Sapi,15000,38,570000
09/08/2025,Senin,1,0,9,37,Cerah,0,,soto_ayam,Soto Ayam,18000,29,522000
09/08/2025,Senin,1,0,9,37,Cerah,0,,es_jeruk,Es Jeruk,10000,57,570000
09/08/2025,Senin,1,0,9,37,Cerah,0,,gorengan,Gorengan,2000,115,230000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,ayam_geprek,Ayam Geprek,18000,36,648000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,nasi_goreng,Nasi Goreng,22000,36,792000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,kopi_susu,Kopi Susu,16000,45,720000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,es_teh_manis,Es Teh Manis,8000,63,504000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,29,435000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,sate_ayam,Sate Ayam,25000,22,550000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,bakso_sapi,Bakso Sapi,15000,33,495000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,soto_ayam,Soto Ayam,18000,28,504000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,es_jeruk,Es Jeruk,10000,57,570000
09/09/2025,Selasa,2,0,9,37,Cerah,0,,gorengan,Gorengan,2000,132,264000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,ayam_geprek,Ayam Geprek,18000,41,738000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,nasi_goreng,Nasi Goreng,22000,37,814000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,kopi_susu,Kopi Susu,16000,43,688000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,es_teh_manis,Es Teh Manis,8000,72,576000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,29,435000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,sate_ayam,Sate Ayam,25000,21,525000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,bakso_sapi,Bakso Sapi,15000,36,540000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,soto_ayam,Soto Ayam,18000,30,540000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,es_jeruk,Es Jeruk,10000,53,530000
09/10/2025,Rabu,3,0,9,37,Cerah,0,,gorengan,Gorengan,2000,128,256000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,ayam_geprek,Ayam Geprek,18000,37,666000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,nasi_goreng,Nasi Goreng,22000,32,704000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,kopi_susu,Kopi Susu,16000,46,736000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,es_teh_manis,Es Teh Manis,8000,71,568000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,27,405000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,sate_ayam,Sate Ayam,25000,20,500000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,bakso_sapi,Bakso Sapi,15000,33,495000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,soto_ayam,Soto Ayam,18000,31,558000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,es_jeruk,Es Jeruk,10000,54,540000
09/11/2025,Kamis,4,0,9,37,Cerah,0,,gorengan,Gorengan,2000,125,250000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,ayam_geprek,Ayam Geprek,18000,43,774000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,nasi_goreng,Nasi Goreng,22000,39,858000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,kopi_susu,Kopi Susu,16000,48,768000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,es_teh_manis,Es Teh Manis,8000,86,688000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,mie_goreng,Mie Goreng Spesial,15000,37,555000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,sate_ayam,Sate Ayam,25000,22,550000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,bakso_sapi,Bakso Sapi,15000,42,630000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,soto_ayam,Soto Ayam,18000,37,666000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,es_jeruk,Es Jeruk,10000,67,670000
09/12/2025,Jumat,5,0,9,37,Cerah,1,Promo Jumat Berkah,gorengan,Gorengan,2000,139,278000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,ayam_geprek,Ayam Geprek,18000,44,792000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,nasi_goreng,Nasi Goreng,22000,45,990000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,kopi_susu,Kopi Susu,16000,58,928000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,es_teh_manis,Es Teh Manis,8000,85,680000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,35,525000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,sate_ayam,Sate Ayam,25000,23,575000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,bakso_sapi,Bakso Sapi,15000,44,660000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,soto_ayam,Soto Ayam,18000,39,702000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,es_jeruk,Es Jeruk,10000,74,740000
09/13/2025,Sabtu,6,1,9,37,Cerah,0,,gorengan,Gorengan,2000,152,304000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,ayam_geprek,Ayam Geprek,18000,44,792000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,nasi_goreng,Nasi Goreng,22000,39,858000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,kopi_susu,Kopi Susu,16000,58,928000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,es_teh_manis,Es Teh Manis,8000,74,592000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,mie_goreng,Mie Goreng Spesial,15000,32,480000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,sate_ayam,Sate Ayam,25000,22,550000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,bakso_sapi,Bakso Sapi,15000,43,645000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,soto_ayam,Soto Ayam,18000,32,576000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,es_jeruk,Es Jeruk,10000,56,560000
09/14/2025,Minggu,7,1,9,37,Berawan,0,,gorengan,Gorengan,2000,145,290000
09/15/2025,Senin,1,0,9,38,Berawan,0,,ayam_geprek,Ayam Geprek,18000,41,738000
09/15/2025,Senin,1,0,9,38,Berawan,0,,nasi_goreng,Nasi Goreng,22000,33,726000
09/15/2025,Senin,1,0,9,38,Berawan,0,,kopi_susu,Kopi Susu,16000,47,752000
09/15/2025,Senin,1,0,9,38,Berawan,0,,es_teh_manis,Es Teh Manis,8000,57,456000
09/15/2025,Senin,1,0,9,38,Berawan,0,,mie_goreng,Mie Goreng Spesial,15000,29,435000
09/15/2025,Senin,1,0,9,38,Berawan,0,,sate_ayam,Sate Ayam,25000,21,525000
09/15/2025,Senin,1,0,9,38,Berawan,0,,bakso_sapi,Bakso Sapi,15000,36,540000
09/15/2025,Senin,1,0,9,38,Berawan,0,,soto_ayam,Soto Ayam,18000,32,576000
09/15/2025,Senin,1,0,9,38,Berawan,0,,es_jeruk,Es Jeruk,10000,52,520000
09/15/2025,Senin,1,0,9,38,Berawan,0,,gorengan,Gorengan,2000,122,244000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,ayam_geprek,Ayam Geprek,18000,39,702000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,nasi_goreng,Nasi Goreng,22000,33,726000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,kopi_susu,Kopi Susu,16000,43,688000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,es_teh_manis,Es Teh Manis,8000,76,608000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,29,435000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,sate_ayam,Sate Ayam,25000,22,550000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,bakso_sapi,Bakso Sapi,15000,36,540000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,soto_ayam,Soto Ayam,18000,32,576000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,es_jeruk,Es Jeruk,10000,58,580000
09/16/2025,Selasa,2,0,9,38,Cerah,0,,gorengan,Gorengan,2000,122,244000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,ayam_geprek,Ayam Geprek,18000,38,684000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,nasi_goreng,Nasi Goreng,22000,37,814000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,kopi_susu,Kopi Susu,16000,43,688000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,es_teh_manis,Es Teh Manis,8000,54,432000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,mie_goreng,Mie Goreng Spesial,15000,31,465000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,sate_ayam,Sate Ayam,25000,19,475000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,bakso_sapi,Bakso Sapi,15000,38,570000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,soto_ayam,Soto Ayam,18000,33,594000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,es_jeruk,Es Jeruk,10000,54,540000
09/17/2025,Rabu,3,0,9,38,Berawan,0,,gorengan,Gorengan,2000,117,234000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,ayam_geprek,Ayam Geprek,18000,43,774000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,nasi_goreng,Nasi Goreng,22000,34,748000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,kopi_susu,Kopi Susu,16000,49,784000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,es_teh_manis,Es Teh Manis,8000,75,600000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,mie_goreng,Mie Goreng Spesial,15000,32,480000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,sate_ayam,Sate Ayam,25000,19,475000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,bakso_sapi,Bakso Sapi,15000,34,510000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,soto_ayam,Soto Ayam,18000,32,576000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,es_jeruk,Es Jeruk,10000,55,550000
09/18/2025,Kamis,4,0,9,38,Cerah,0,,gorengan,Gorengan,2000,112,224000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,ayam_geprek,Ayam Geprek,18000,48,864000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,nasi_goreng,Nasi Goreng,22000,41,902000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,kopi_susu,Kopi Susu,16000,48,768000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,es_teh_manis,Es Teh Manis,8000,71,568000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,mie_goreng,Mie Goreng Spesial,15000,38,570000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,sate_ayam,Sate Ayam,25000,21,525000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,bakso_sapi,Bakso Sapi,15000,40,600000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,soto_ayam,Soto Ayam,18000,37,666000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,es_jeruk,Es Jeruk,10000,60,600000
09/19/2025,Jumat,5,0,9,38,Berawan,1,Promo Jumat Berkah,gorengan,Gorengan,2000,143,286000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,ayam_geprek,Ayam Geprek,18000,47,846000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,nasi_goreng,Nasi Goreng,22000,40,880000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,kopi_susu,Kopi Susu,16000,57,912000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,es_teh_manis,Es Teh Manis,8000,76,608000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,mie_goreng,Mie Goreng Spesial,15000,39,585000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,sate_ayam,Sate Ayam,25000,26,650000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,bakso_sapi,Bakso Sapi,15000,42,630000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,soto_ayam,Soto Ayam,18000,36,648000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,es_jeruk,Es Jeruk,10000,64,640000
09/20/2025,Sabtu,6,1,9,38,Berawan,0,,gorengan,Gorengan,2000,148,296000
09/21/2025,Minggu,7,1,9,38,Berawan,0,,ayam_geprek,Ayam Geprek,18000,51,918000
09/21/2025,Minggu,7,1,9,38,Berawan,0,,nasi_goreng,Nasi Goreng,22000,45,990000
09/21/2025,Minggu,7,1,9,38,Berawan,0,,kopi_susu,Kopi Susu,16000,52,832000
